wtp
175
0
130
50
140
96
74
100
108
95
100
150
55
150
75
125
30
150
0
75
125
105
90
95
150
175
80
0
50
75
130
115
150
80
156
190
100
100
250
70
0
110
32
65
90
0
0
50
73
80
100
41
96
0
55
90
120
120
170
0
150
95
0
0
50
125
100
150
80
128
110
71
40
61
0
100
125
80
50
106
125
85
70
65
120
0
56
150
50
61
0
30
109
65
60
90
0
120
100
190
110
328
115
120
80
95
85
